ASH,TA_AV,RH
-1,25.6,58.5
0,25.7,58
0,24.4,59.6
0,23.9,60.8
1,24.3,60.9
0,24.9,60.2
3,25.4,59.2
-1,25.6,59.1
0,25.7,58.8
1,25.8,58.1
0,25.7,58.5
0,25.8,58
0,25.4,58.7
0,24.8,59.6
2,24.8,59.7
-1,24.9,59.7
-1,24.9,59.7
0,25,59.6
1,25.1,59.6
0,25.3,59.1
0,24.8,59.5
0,24.5,59.9
0,24.4,60.2
1,24.6,59.5
0,24.8,59.3
-1,24.1,61
0,23.6,61.9
-1,24.4,59.6
-1,24.5,59.8
2,24.7,60.1
0,23,60.2
0,23.7,60.3
-1,24.2,59.1
0,24.4,58.4
0,24.4,58.4
0.5,24.2,58.3
0,24.4,58
0,24.5,58.4
1,24.3,58.5
-1,24.5,58.6
0,23.6,60.9
0,23.1,60.6
0,23,63.3
1,23.7,61.8
0,23.9,61.6
0,23.7,61.9
-1,23.9,62.1
-2,24.1,61.7
1,23.3,62.5
-1,23.2,62.8
0,23.1,62.8
0,23.3,62.7
-1,23.5,63
-1,23.2,62.9
0,22.7,64.1
0,23.2,63.3
-1,23.3,63.1
0,23.3,63.2
1,23.3,62.5
-1,23.6,62.7
1,23.7,62.8
0,23.9,62.8
-1,23.7,62.7
1,23.7,62.9
-1,23.8,62.4
1,23.8,62.4
-1,23.9,62.7
0,24,62.7
-1.5,24.1,62.3
-1,24.1,61.9
0,24,62.4
-1,24,62.2
0,24.1,62.4
-1,23.9,62.8
0,23.7,63.3
1,24.3,63
0,24.2,62.9
0,24.1,63
-2,23.2,64.4
-1,22.8,65.4
1,23.3,65.4
-1,24,63.8
0,24.1,63.5
2,24,63.7
1,24,63.2
1,23.5,63.6
0,24,63.5
0,24.3,62.9
-0.5,24.6,62.5
0.5,25.4,62.4
0,25.5,60.8
0,24.9,61.4
1,24.9,61.6
0.5,25.1,61
-1,24.7,61.2
0,24.8,61.5
1,25.1,61.3
0,25.4,60.6
1,25.1,60.9
1,25.6,60.2
1,25.7,59.9
0.5,25.8,59.8
0,25.7,59.6
1,25.3,59.9
-1,25.3,59.9
0,25.3,59.8
0,25.4,60
-0.5,25.5,59.4
1,25.1,59.8
1,25.3,59.3
-1,25.3,59.6
1,25.4,59.3
1,25.8,59.1
0,25.7,58.7
-1,25.5,59.2
1,25.5,59.2
-0.5,24.3,61.1
-1,24.8,60.7
-1,25.2,62.3
0.5,23.8,64.8
1,24.3,64.4
-1.5,24.8,63.4
1,24.8,63.1
1,25.1,63.4
1,25.1,62.5
2,24.9,62.9
1,24.9,63.1
1,24.8,62.8
0,24.3,63.8
0,24.5,63.7
0,24.6,63.7
1,24.5,63.7
1,24.3,63.7
0,24.2,63.7
-1,23.5,64.8
0,23.2,65.2
-2,23.2,65.5
-1,22.9,66.7
0,23.3,66.5
1,24,65.5
0,23.9,65.4
0,24,63.5
0,24.2,63.1
-1,23.7,63.6
1,23.2,63.9
-1,23.5,63.8
0,24,63.3
2,24.4,62.8
-0.5,24.3,62.9
-1,24.2,63
-1,24.3,63
0,24.4,62.4
-1,24.2,63.1
0,24.5,62.7
1,24.4,62.8
1,24.5,62.6
1,24.5,62.9
0,24.1,63.2
0,23.7,63.7
0,23.5,64
-1,23.5,64.1
0,23.7,64.2
-2,22.9,65.6
-1,22.8,65.6
0,23.2,65.1
-1,23,64.7
1,23.1,65
1,24,64.1
0,24.5,63.2
1,24.2,63.2
0,24.1,63.4
0,26.1,61.1
1,25.6,61.4
1,26,67.3
0,26.5,65.8
2,26.8,68.1
2,26.9,59.7
1,26.7,58.5
0,26.8,58.7
2,26.8,58.4
1,26.6,58.8
0,26,58.2
0,25.9,58.6
1,25.5,60.2
2,24.8,60.2
0,24.6,60.3
-1,24.9,60.1
1,25.6,59.3
1,25.8,59.2
1,25.8,59.4
0,25.6,59.7
2,26.2,59.8
1,26.4,59.1
1,25.9,59.4
2,25.9,59.6
0,26,59.4
1,26.2,59.2
1,25.4,58.8
1,25.1,58.7
1,25.3,59.7
0,25.3,59.4
0,25.4,59
0,25.4,59.1
1,25.5,58.2
1,25.7,58.3
-1,25.9,56.8
0,25.6,57
-1,25.7,57.3
0,25.5,57
-1,25.3,57.9
2,24.9,58.2
0,24.9,57.9
1,24.9,58.1
0,25,59.7
-1,25.5,59.1
0,24.8,57.3
1,25.2,56.8
0,24.9,56.7
-1,24.6,57
1,24.2,57.3
0,24.3,57.4
1,24.5,57.4
0,24.5,57.1
-1,24.7,57
0,24.7,57.3
-1,25,57.2
0,29.8,77.9
1,29.5,78.1
1,30,77.4
1,30,77.2
2,30.1,77.2
1,30.3,76.3
1,30.3,75.6
1,30.4,75.2
2,30.5,74.9
2,30.6,73.3
1,30.9,72.5
3,30.7,73
2,31.2,70.1
2,31.3,69.1
2,31.1,69.7
3,31.3,69.2
2,31.5,68.8
2,31.7,68.2
2,31.4,69
1,31.3,69.2
2,31.3,69.2
1,31.4,69
1,31.4,68.9
3,31.9,67.3
2,32,67.6
0,31.9,67.3
3,32.1,66.6
1,31.4,70.1
2,31.4,70.9
2,31.4,71
3,31.3,71.4
1,31.4,71.7
2,31.6,71.3
0,31.3,71.7
2,31.3,71.5
0,31.2,71.9
2,31.2,71.8
1,30,80.2
2,30,80.8
1,30.3,80
2,30.1,80
1,30.3,79.9
2,30.8,79.3
1,30.6,79.4
2,30.5,79.8
2,30.6,79.5
3,30.7,79.1
0,30.7,78.7
2,30.6,77.2
1,30.1,77.7
0,29.2,79
1,29.3,77.3
2,29.2,78.2
0,28.1,79.8
1,28.3,79.7
0,28.5,80
2.5,28.3,80.5
2,29.1,79
2,29.6,78.3
1,28.7,83.8
1,28.7,82.6
1,28.3,81.9
0,26.9,71.1
-1,27.4,83.3
0,27.2,84.6
0,27.2,84.6
0,28,83.3
1.5,28.3,82.8
2,27.1,84.9
1,28.1,84.2
1,28.6,82.4
-1,26.8,85.1
-1,25.9,88.3
0,26.4,87
2,26.7,86.1
1,26.1,87.3
0,26.1,87.3
0,29.6,77.4
0,29.8,76.6
2,29.4,77.5
0,29.3,77.8
0,29.5,77.3
1,29.5,77.4
0,29.6,77.3
0,30.3,76
0,29.6,77.3
0,29.3,77.5
1,29.1,77.7
2,29.5,77.2
0,29.3,77.7
0,31,74.4
2,31.5,72.8
2,30.2,73.6
1,30.3,73.4
1,30.8,72.6
2,31.3,71.6
3,31.1,73.4
1,31.2,72.7
0,30.1,76.6
2,30,76.6
2,29.8,78
1,29.9,78.6
2,29.9,78.7
0,29.9,78.7
0,30,78.4
2,30.1,77.8
1,30.2,73.6
2,30.3,74.6
1,30.3,74.5
0,30.3,74.7
0,30.3,80
2,30.3,75
1,30.2,75.1
0,30.2,74.6
1,30,76.5
2,30.2,75.8
2,30.2,76.1
0,30.1,76.9
0,30.1,76.7
0,30.2,76.5
0,28.4,86.6
0,28.7,86.8
2,28.9,85.4
1,29,84.3
1,28.8,83.8
0,28.6,83.6
1,28.9,83.4
0,29,83
0,28.4,83.6
1,28.7,83.5
1,28.9,83.4
0,28.5,84.4
0,28.3,85.1
1,28.6,84.9
1,29.2,83.7
1,29.5,83.7
1,29.6,82.8
0,28.8,93.8
2,29.4,82.4
0,29.6,81.5
2,29.8,81.1
3,30.3,79.3
2,30.3,78.3
1,30.4,77.1
0,30.7,75.8
1,31.1,74
0,30.7,74.9
2,30.3,76.2
2,30.1,76.6
1,29.9,76.8
2,30.1,76.5
1,30,76.4
1,30.4,74.9
1,30.4,74.9
0,30.6,74.9
0,30.4,74.5
3,30.2,75.1
1,30.4,75.7
1,30.4,76.1
2,30.3,76.4
2,30.3,74.4
1,30.5,74.8
1,30.3,74.5
0,30.7,70.4
1,30.8,69.8
0,31.7,67.5
1,31.6,67.7
2,31.1,67.9
1,31.2,67.9
0,31.6,66.4
1,31.4,78.5
0,31.3,78.8
0,31.1,66.3
1,31.7,66.2
2,32.9,62.3
2,33.2,61
1,33.5,59.9
2,34.2,58.5
2,32.5,64
1,32.1,65.9
1,32.7,63.8
1,33,63
3,33,63.1
2,33,63
0,32.8,62.9
2,32.2,64.4
1,32.1,64.9
0,32,65.8
3,32,65.4
1,31.9,65.8
1,32,65.9
1,32.2,65.7
3,32,66.4
2,31.7,70
2,31.6,69.9
2,31.5,70.9
1,31.5,71.2
2,31.6,70.4
1,31.7,69.7
2,31.7,69.5
2,31.8,69
1,32.1,69.3
2,32.1,69.8
