BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
1,12,.,1,1992,29,1625,0,2,.,2,.,.,5,.,.,.,.,1.2,1.12476,0.15,1.27476,22.9 ,22.9 ,22.7 ,7.0 ,-0.1 ,23.1 ,23.0 ,22.7 ,0.09 ,0.08 ,0.05 ,1.07 ,0.12 ,0.12 ,22.8 ,22.9 ,22.9 ,0.07 ,0.09 ,0.43 ,0.997510387,35.90293526,22.4,27.7,0.38,0.61,0.48,0.1,0.09,0.04,0.01,0.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0.1,-1.1,-0.5
1,6,.,0,1992,30,906,0.6,2,.,3,.,.,4,.,.,.,.,1.2,0.70016,0.15,0.85016,23.8 ,23.8 ,23.6 ,8.8 ,-0.3 ,23.9 ,23.8 ,23.6 ,0.10 ,0.08 ,0.06 ,0.34 ,0.09 ,0.35 ,23.7 ,23.8 ,23.7 ,0.08 ,0.10 ,0.26 ,1.128285972,38.50697636,23.5,25.7,0.05,0.1,0.23,0.06,0.07,0.04,0.02,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,4,.,1,1992,30,917,1,2,.,2,.,.,5,.,.,.,.,1,0.69216,0.15,0.84216,24.0 ,24.0 ,23.7 ,8.8 ,-0.3 ,24.2 ,24.1 ,23.7 ,0.13 ,0.08 ,0.06 ,0.33 ,0.30 ,0.49 ,23.9 ,24.0 ,23.9 ,0.09 ,0.13 ,0.37 ,1.132117752,38.22150158,23.8,25.1,-0.05,-0.05,-0.16,0.06,0.10,0.05,0.03,0.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,5,.,0,1992,30,924,0,2,.,2,.,.,6,.,.,.,.,1,0.64546,0.15,0.79546,24.2 ,24.1 ,23.8 ,8.9 ,-0.5 ,24.3 ,24.2 ,23.9 ,0.11 ,0.10 ,0.08 ,0.48 ,0.21 ,0.30 ,24.1 ,24.1 ,24.1 ,0.09 ,0.11 ,0.33 ,1.137501458,37.99771588,24,25,-0.06,-0.06,-0.18,0.06,0.08,0.06,0.04,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,3,.,0,1992,30,933,-0.5,2,.,2,.,.,6,.,.,.,.,1.2,0.70016,0.15,0.85016,23.9 ,23.8 ,23.4 ,8.9 ,1.1 ,23.9 ,23.8 ,23.3 ,0.12 ,0.06 ,0.06 ,0.17 ,0.21 ,0.13 ,23.7 ,23.6 ,23.7 ,0.08 ,0.12 ,0.17 ,1.139043787,38.88193084,23.4,25.6,0.02,0.07,0.2,0.06,0.07,0.02,0.02,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,2,.,0,1992,30,943,0,2,.,2,.,.,4,.,.,.,.,1,0.62358,0.15,0.77358,23.7 ,23.5 ,23.0 ,8.8 ,1.1 ,23.8 ,23.6 ,23.0 ,0.09 ,0.11 ,0.06 ,0.76 ,0.31 ,0.51 ,23.4 ,23.5 ,23.4 ,0.09 ,0.11 ,0.53 ,1.131350482,39.28462532,23.3,24.2,-0.1,-0.1,-0.43,0.09,0.09,0.08,0.02,0.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,14,.,1,1992,30,1002,0,2,.,2,.,.,5,.,.,.,.,1.2,0.97644,0.15,1.12644,23.0 ,23.0 ,22.8 ,7.5 ,0.6 ,23.1 ,23.2 ,22.8 ,0.11 ,0.09 ,0.05 ,0.16 ,0.30 ,1.85 ,22.9 ,23.0 ,23.0 ,0.08 ,0.11 ,0.77 ,1.031871515,36.96003221,22.6,26.9,0.26,0.4,0.37,0.08,0.07,0.06,0.02,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,11,.,1,1992,30,1016,-0.2,2,.,2,.,.,5,.,.,.,.,1,0.70452,0.15,0.85452,23.1 ,23.2 ,22.9 ,7.5 ,-0.2 ,23.1 ,23.2 ,22.9 ,0.18 ,0.11 ,0.16 ,0.17 ,0.40 ,0.36 ,23.0 ,23.0 ,23.0 ,0.15 ,0.18 ,0.31 ,1.035413891,36.81093111,22.9,24.1,-0.1,-0.1,-0.56,0.12,0.13,0.09,0.15,0.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,13,.,1,1992,30,1023,0,2,.,2,.,.,5,.,.,.,.,1,0.88992,0.15,1.03992,23.1 ,23.1 ,22.9 ,7.6 ,-0.2 ,23.2 ,23.1 ,22.8 ,0.12 ,0.10 ,0.05 ,0.64 ,0.13 ,0.52 ,23.0 ,23.0 ,23.0 ,0.09 ,0.12 ,0.43 ,1.03825549,36.88217681,22.9,25.4,-0.04,-0.04,-0.11,0.05,0.12,0.06,0.02,0.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,12,.,1,1992,30,1030,-1,2,.,1,.,.,3,.,.,.,.,1,0.618,0.15,0.768,23.0 ,23.1 ,22.8 ,7.5 ,-0.1 ,23.2 ,23.2 ,22.8 ,0.10 ,0.09 ,0.07 ,0.17 ,1.78 ,0.78 ,23.0 ,23.1 ,23.0 ,0.09 ,0.10 ,0.91 ,1.036123649,37.0075655,22.9,23.8,-0.12,-0.12,-0.56,0.12,0.06,0.13,0.05,0.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
